nome,conselho_regional,registo,localidade,data_constituicao,email,morada,codigo_postal,telefone,telemovel,fax,url_fonte,zona_evento,tipo_evento,observacoes
"GOMES, FERRO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,63/14,MATOSINHOS,03-12-2014,jorgeugomes-10489p@adv.oa.pt,"Rua Rorberto Ivens - 1º, Sala 2",4450-251 MATOSINHOS,+351220129706,,+351220129716,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"GONÇALVES & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL",Porto,81/09,PORTO,08-10-2009,valdemar.g.advg@mail.telepac.pt,"R. de Ceuta, 118 - 4º. Sala 31",4050-190 PORTO,+351222050994,,+351222051851,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
GONÇALVES PEREIRA E ASSOCIADOS - SOCIEDADE DE ADVOGADOS,Porto,3/89,VALONGO,24-01-1989,cuatrecasasporto@cuatrecasas.com,"Avª. 5 de Outubro, 73 - 1º. Dtº.",4440-000 VALONGO,+351226166920,,+351226166949,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"GONÇALVES SOARES & DIAS - SOCIEDADE DE ADVOGADOS, RL",Porto,29/14,SANTA MARIA DA FEIRA,15-05-2014,jorgesoares-10706p@adv.oa.pt,Rua Principal n.º 828,4535-216 SANTA MARIA DA FEIRA,,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"GONÇALVES, LOPES E ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL",Porto,20/98,PORTO,22-04-1998,pm.lopes-8640p@adv.oa.pt,"Rua Prof. Correia de Araújo, 593 - Praceta - Privada, Entrada 3 Salas 1 e 2",4200-205 PORTO,+351225020635,,+351225508968,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"Gouveia Coelho e Associados, Sociedade de Advogados, S.P., R.L.",Porto,3/23,PORTO,17-01-2023,gouveiacoelho-2423p@adv.oa.pt,"Rua Campo 24 de Agosto, 129, Piso 4, Sala 401",4300-504 PORTO,,+351918796741,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"GUEDES DA COSTA, TORRES PEIXOTO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,16/07,PORTO,14-05-2007,geral@qggp-advodados.com,"Alameda Eça de Queiroz, 37 - 1º. Drtº.",4200-273 PORTO,+351225502625,,+351225502702,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"GUSTAVO FERNANDES, DOMINGOS LEITE E ASSOCIADOS - SOCIEDADE DE ADVOGADOS",Porto,25/91,SANTA MARIA DA FEIRA,11-07-1991,gustavofernandes.advogados@mail.telepac.pt,"Rua de S. Nicolau, 33 - 1º. Esqº.",4520-000 SANTA MARIA DA FEIRA,+351256379680,,+351256379689,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"HENRIQUE DE CARVALHO & ASSOCIADOS- ADVOGADOS - SP, RL",Porto,11/06,PORTO,24-02-2006,pedrosoaresdecarvalho-9344p@adv.oa.pt,"R. Gonçalo Cristóvão, 128 - 5º. Esqº.",4000-264 PORTO,+351223393370,,+351222007425,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"HMR - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,6/17,BRAGA,03-02-2017,hmr@hmradvogados.pt,"Avenida D João II, n.º 374 - 3º, sala 34",4715-275 BRAGA,+351253221221,,+351253616225,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=16,,,
"HORÁCIO LAGES & CARLOS LAGES - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,8/88,VIANA DO CASTELO,01-08-1988,horaciolages.viana@mail.telepac.pt,"Passeio das Mordomas da Romaria, 26",4901-876 VIANA DO CASTELO,+351258800880,,+351258800889,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"INTERPARS MB, SOCIEDADE DE ADVOGADOS, SP RL",Porto,16/24,PORTO,02-05-2024,geral@interparsadvogados.com,"Rua de Azevedo Coutinho, n.º 39, piso 5, sala 5.9",4100-100 PORTO,+351935334174,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"IRP - INÁCIO RAMOS PERES & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL, Lda",Porto,26/00,ANADIA,22-05-2000,info@ipasa.pt,"Rua Padre Américo, Edificio Marialva, 1º L",3780-236 ANADIA,+351231518000,+351934203515/916056560,+351231512323,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"J. GONÇALVES OLIVEIRA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,70/05,VALBOM GDM,15-12-2005,jgoncalvesoliveira-7450p@adv.oa.pt,"R. da Escola Dramática, 633",4420-443 VALBOM GDM,+351224649364,,+351224649366,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"J. SOUSA DA SILVA, GOMES - SOCIEDADE DE ADVOGADOS, RL",Porto,10/12,PORTO,21-03-2012,maria.alberta.gomes-5556P@adv.oa.pt,"Rua Gonçalo Cristovão, nº 347 - 5º andar, sala 505",4000-270 PORTO,+351225188743,,+351225101392,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"JESUS, FONSECA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL",Porto,23/14,PORTO,08-04-2014,ruidejesus-415e@adv.oa.pt,"Rua do Campo Alegre, 1306 - 1º sala 105",4150-174 PORTO,,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"JOANA SÁ PEREIRA, MARIA JOÃO AFONSO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL",Porto,18/06,PORTO,14-03-2006,joanasapereira-8953p@adv.oa.pt,"Rua da Piedade, n.º 16 e 24",4050-481 PORTO,+351229399240,,+351229399249,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"JOÃO ARAUJO & ASSOCIADOS, SOCIEDADE DE ADVOGADOS SP, RL",Porto,2/19,VILA NOVA DE FAMALICÃO,15-01-2019,joaoaraujo-6334p@adv.oa.pt,"Av Dr. Carlos Bacelar, 1044 - 2º, Sala 27 B",4760-103 VILA NOVA DE FAMALICÃO,+351252310438,,+351252371113,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"JOÃO CARLOS SILVA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,20/00,PORTO,31-03-2000,geral@jcs-associados.pt,"Av. Marechal Gomes da Costa, 511",4150-358 PORTO,+351226198690,,+351226198698,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"JOÃO MAGALHÃES, ADRIANA AMORIM E ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL",Porto,15/11,BRAGA,03-03-2011,geral@jmaassociados.com,"R. Bernardo Sequeira, 201 r/c S. Victor",4715-010 BRAGA,+351253007179,,+351253007179,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=17,,,
"JOÃO MARIZ & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,35/89,PÓVOA DE VARZIM,17-10-1989,advogadosjmtm@mail.telepac.pt,"R. Padre José Brenha, 58",4490-669 PÓVOA DE VARZIM,+351252690570,,+351252690571,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
JOÃO MARQUES & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL,Porto,31/01,PORTO,26-07-2001,jmarques.advogados@oninet.pt,"Prª. Carlos Alberto, 123 - 3º. Salas 33 e 34",4050-293 PORTO,+351222052016,,+351222038372,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JOÃO PORTUGAL & JOÃO BRAGA FERREIRA - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,31/23,BRAGA,09-11-2023,jj-advogados@outlook.pt,Avenida 31 de Janeiro n.º 31 - 1º,4715-052 BRAGA,+351253292220,,+351253290337,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
JOÃO SAMPAIO E ZEFERINO MARTINS - SOCIEDADE DE ADVOGADOS RL,Porto,42/00,VILA NOVA DE FAMALICÃO,04-10-2000,jsvm.soc.advogados@sapo.pt,"Rua S. João de Deus, 106 – 1º. Esqº.",4760-000 VILA NOVA DE FAMALICÃO,+351252372760,,+351252314130,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JOAQUIM BASTOS & ASSOCIADOS -SOCIEDADE DE ADVOGADOS, RL",Porto,21/02,CELORICO DE BASTO,28-02-2002,joaquim.vitor@clix.pt,"Rua do Passeio Público, 1 - 1º esq.",4890-224 CELORICO DE BASTO,+351255322550,,+351255323551,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JORGE CARNEIRO E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,1/85,PORTO,25-01-1985,lawfirm@jcassociados.pt,"R. Eugénio de Castro, 352 Esc. 28",4100-225 PORTO,+351226051330,,+351226092146,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JORGE CARVALHO GUIMARÃES, FRANCISCO SÁ MORAIS E ASSOCIADOS -SOCIEDADE DE ADVOGADOS RL",Porto,90/10,PORTO,28-10-2010,franciscosamorais@mail.telepac.pt,"R. Pedro Homem de Mello, 55 - 8º. Piso",4150-599 PORTO,+351226197400,,+351226197409,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JORGE DA COSTA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,6/11,FRADELOS VNF,25-01-2011,jjdc-7137p@adv.oa.pt,"R. da Igreja, 39 Fradelos",4760-485 FRADELOS VNF,+351252413220,,+351252413221,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JORGE NETO E ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,12/10,PORTO,29-01-2010,jorgeneto@telepac.pt,"R. Pedro Homem de Melo, 55 - 8º.",4150-599 PORTO,+351226198690,,+351228198699,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JORGE VARANDA, MANUEL PINTO & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL",Porto,11/09,BRAGA,29-01-2009,a.rocha.pinto-5830p@advogados.oa.pt,"R. Centro Comercial da Estação, 1 - 1º. Loja 29",4700-223 BRAGA,+351253206290,,+351253206293,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=18,,,
"JORGE VIEIRA, MIGUEL VIEIRA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL",Porto,2/14,MARCO DE CANAVESES,03-01-2014,jorgevieira-3468p@adv.oa.pt,"Avenida Avelino Ferreira Torres, 1678",4630-201 MARCO DE CANAVESES,+351255534985,,+351255523378,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ ALBERTO CUNHA, ÁLVARO OLIVEIRA - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,10/02,GUIMARÃES,16-01-2002,jac.ao.advogados@net.vodafone.pt,"Largo Condessa do Juncal, 40 - 1º.",4800-159 GUIMARÃES,+351253416549,,+351253511031,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
JOSÉ ANTÓNIO NOGUEIRA E FILOMENA TEIXEIRA-SOCIEDADE DE ADVOGADOS RL,Porto,37/98,VALENÇA,25-09-1998,nãotem,"Rua Pestana de Vasconcelos, 21",4930-721 VALENÇA,+351251825715,,+351nãotem,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ DE FREITAS, SOCIEDADE DE ADVOGADOS, SP, RL",Porto,30/20,PORTO,06-10-2020,jose.freitas@defreitas.eu,"Rua de Júlio Dinis, n.º 728, 8º esq.",4050-012 PORTO,+351221144556,,+351221108184,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ FIGUEIREDO & ASSOCIADOS - ADVOGADOS SP, RL",Porto,39/04,VILA NOVA DE GAIA,29-07-2004,josefigueiredo-3167p@advogados.oa.pt,"R. Álvares Cabral, 125 - 2º. E",4400-017 VILA NOVA DE GAIA,+351223704896,,+351223701063,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
JOSÉ M. ALVES & ELSA BAPTISTA-SOCIEDADE DE ADVOGADOS RL,Porto,8/98,VILA NOVA DE GAIA,16-02-1998,elsa.batista-4161p@advogados.oa.pt,"Rua Raimundo de Carvalho, 171 - 4º. Salas 43/44/45",4430-000 VILA NOVA DE GAIA,+351223721902,,+351223721902,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ MACIEIRINHA, PEDRO MACIEIRINHA E ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL",Porto,3/02,VILA REAL,03-01-2002,pmacieirinha-6531p@adv.oa.pt,"R. D. Pedro de Castro, 13 Apartado 251",5001-911 VILA REAL,+351259371949,,+351259321757,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ MARIA MARTINS, VERÓNICA PINTO & ASSOCIADOS, SOCIEDADE DE ADVOGADOS, SP, RL",Porto,32/16,OLIVEIRA DE AZEMÉIS,26-07-2016,jmmartins-5994p@adv.oa.pt,"Rua Bento Carqueja, 147 - 2º",3720-214 OLIVEIRA DE AZEMÉIS,+351256682640,,+351256682642,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
JOSÉ NUNO PEREIRA PINTO E PEDRO NUNO N. PEREIRA PINTO - SOCIEDADE DE ADVOGADOS,Porto,17/95,MATOSINHOS,16-05-1995,pnpereirapinto-5185p@adv.oa.pt,"Rua Brito Capelo, 598 - 3º. Sala 3",4450-000 MATOSINHOS,+351229375819,,+351229387473,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ PEDRO O. CARVALHO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL",Porto,26/12,BRAGA,28-06-2012,geral@jpcadvogados.pt,"Av. D. João II, Polo de Negocios de Braga, Edf. - B, n.º 374, Esc. 35",4715-175 BRAGA,+351253204060,,+351253204069,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=19,,,
"JOSÉ SILVA LOPES & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, RL",Porto,47/14,SANTO ESTEVÃO BARROSAS,19-08-2014,silvalopes-15873l@advogados.oa.pt,"Rua de Santo Estêvão, n.º 43",4620-615 SANTO ESTEVÃO BARROSAS,+351223758799,,+351223758801,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"JPAB - José Pedro Aguiar-Branco Advogados, Sociedade Multidisciplinar, SP RL",Porto,51/03,PORTO,30-06-2003,info@jpab.pt,"R. José Falcão, 110 - 2º.",4050-315 PORTO,+351220122100,,+351220122101,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"JPMNS SOCIEDADE DE ADVOGADOS, SP, RL",Porto,35/22,ERMESINDE,16-09-2022,geral@jpmns.pt,"Rua Simão Lopes, n.º 369",4445-602 ERMESINDE,+351229753602,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"JÚLIO SANTOS & ASSOCIADOS-SOCIEDADE DE ADVOGADOS, SP, RL",Porto,24/00,VALONGO,10-05-2000,geral@jsa_sociedadeadvogados.pt,"Trª. Vila Nova de Gaia, 30 - Ermesinde",4440-000 VALONGO,+351223320933,,+351223320281,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"L. FERREIRA, C. LEÃO, C. MACHADO, L. MOURÃO, SOCIEDADE DE ADVOGADOS, SP, RL",Porto,45/96,PORTO,30-09-1996,lmsocieadvogados@mail.telapac.pt,"Rua Alfredo Keil, n.º 331, 8.º Esquerdo",4150-049 PORTO,+351222004341,,+351223324357,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"LBV - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,13/24,PORTO,26-03-2024,danielalima-46229P@adv.oa.pt,"Av da Boavista, n.º 1203, 4º andar, salas 403 e 404",4100-130 PORTO,+351220927606,,+351220927606,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"LEAL, FARO, RAMOS & TENTÚGAL - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,15/06,PORTO,08-03-2006,geral@lfrt.pt,"Avenida da Boavista, n.º 1131, 3.º",4100-130 PORTO,+351226004851,,+351226004958,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"LECTÍCIA MATOS & MARTINS PACHECO - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,15/19,PAÇOS DE FERREIRA,15-04-2019,lecticiamatos-45828P@adv.oa.pt,"Rua Dr. Leão de Meireles, n.º 6",4590-586 PAÇOS DE FERREIRA,+351255110210,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"LEITE DA CUNHA, ALMEIDA & ALMEIDA COSTA-SOCIEDADE DE ADVOGADOS RI",Porto,3/04,PÓVOA DE VARZIM,20-01-2004,lcaadvogados@mail.telepac.pt,"R. Almirante Reis, 2 - 1º. Esqº.",4490-463 PÓVOA DE VARZIM,+351252298180,,+351252298189,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"LEITE RIBEIRO, CANEJA AMORIM & ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL",Porto,19/03,GUIMARÃES,13-03-2003,sociedade.advogados@ribeiro-lopes-amorim.pt,"Av. General Humberto Delgado, 330 - 1º.",4800-158 GUIMARÃES,+351253113340,,+351253413341,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=20,,,
"LEONEL A. T. SILVA & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,42/10,PORTO,14-04-2010,geral@leonelatsilva.pt,"Rua Pedro Hispano, 1232",4250-365 PORTO,+351226199260,,+351226199269,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=21,,,
LESTRA GONÇALVES E ASSOCIADOS-SOCIEDADE DE ADVOGADOS RL,Porto,39/98,BRAGA,05-11-1998,geral@lestragoncalvesadvogados.com,"Rua Dr. Francisco Duarte, 327 Sala 12",4710-000 BRAGA,+351253201660,,+351253201661,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=21,,,
"LOPES CARDOSO & ASSOCIADOS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,44/01,PORTO,27-09-2001,lca@lopes-cardoso.pt,"Rua Julio Dinis, 247 - 4º E 9",4051-401 PORTO,+351226099448,,+351226099265,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=21,,,
"LOUREIRO, MALVAR E CARVALHO - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,74/06,VILA NOVA DE FAMALICÃO,07-11-2006,rita.malvar.loureiro-7086p@adv.oa.pt,"R. S. João de Deus, 136 Edfº. Domus",4760-162 VILA NOVA DE FAMALICÃO,+351252309830,,+351252309839,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=21,,,
"LRAS - SOCIEDADE DE ADVOGADOS, SP, RL",Porto,23/18,SANTO TIRSO,09-05-2018,luis.rocha-6505p@adv.oa.pt,"Praça Camilo Castelo Branco, 25",4780-374 SANTO TIRSO,,,,https://portal.oa.pt/advogados/pesquisa-de-sociedades-de-advogados/?cg=P&r=&n=&lo=&m=&cp=&op=&o=0&page=21,,,
